"","ZCTA5","STATE","COUNTY","TRACT","GEOID","POPPT","HUPT","AREAPT","AREALANDPT","ZPOP","ZHU","ZAREA","ZAREALAND","TRPOP","TRHU","TRAREA","TRAREALAND","ZPOPPCT","ZHUPCT","ZAREAPCT","ZAREALANDPCT","TRPOPPCT","TRHUPCT","TRAREAPCT","TRAREALANDPCT"
"26656",20002,11,1,8302,11001008302,2206,1032,260893,260893,52370,26166,14195549,13616347,2206,1032,260893,260893,4.21,3.94,1.84,1.92,100,100,100,100
"26657",20002,11,1,8402,11001008402,2149,1270,268371,268371,52370,26166,14195549,13616347,2149,1270,268371,268371,4.1,4.85,1.89,1.97,100,100,100,100
"26658",20002,11,1,8410,11001008410,1489,681,220143,220143,52370,26166,14195549,13616347,1489,681,220143,220143,2.84,2.6,1.55,1.62,100,100,100,100
"26659",20002,11,1,8701,11001008701,2407,972,384507,384507,52370,26166,14195549,13616347,2407,972,384507,384507,4.6,3.71,2.71,2.82,100,100,100,100
"26660",20002,11,1,8702,11001008702,1599,902,474437,474437,52370,26166,14195549,13616347,1599,902,474437,474437,3.05,3.45,3.34,3.48,100,100,100,100
"26661",20002,11,1,8802,11001008802,4119,1999,471790,471790,52370,26166,14195549,13616347,4119,1999,471790,471790,7.87,7.64,3.32,3.46,100,100,100,100
"26662",20002,11,1,8803,11001008803,2037,612,1151253,1151253,52370,26166,14195549,13616347,2037,612,1151253,1151253,3.89,2.34,8.11,8.45,100,100,100,100
"26663",20002,11,1,8804,11001008804,2412,1396,787215,787215,52370,26166,14195549,13616347,2412,1396,787215,787215,4.61,5.34,5.55,5.78,100,100,100,100
"26664",20002,11,1,8903,11001008903,2633,1399,299515,299515,52370,26166,14195549,13616347,2633,1399,299515,299515,5.03,5.35,2.11,2.2,100,100,100,100
"26665",20002,11,1,8904,11001008904,3309,1788,456560,456560,52370,26166,14195549,13616347,3309,1788,456560,456560,6.32,6.83,3.22,3.35,100,100,100,100
"26666",20002,11,1,9102,11001009102,2,1,153728,153728,52370,26166,14195549,13616347,4127,1854,1835955,1835502,0,0,1.08,1.13,0.05,0.05,8.37,8.38
"26667",20002,11,1,9203,11001009203,2582,1259,587344,587344,52370,26166,14195549,13616347,2582,1259,587344,587344,4.93,4.81,4.14,4.31,100,100,100,100
"26668",20002,11,1,9204,11001009204,284,181,151473,151473,52370,26166,14195549,13616347,2557,1369,303077,303077,0.54,0.69,1.07,1.11,11.11,13.22,49.98,49.98
"26669",20002,11,1,10600,11001010600,3933,1927,1236709,1236709,52370,26166,14195549,13616347,3933,1927,1236709,1236709,7.51,7.36,8.71,9.08,100,100,100,100
"26670",20002,11,1,11100,11001011100,668,291,3608257,3261667,52370,26166,14195549,13616347,4859,1868,6059137,5712488,1.28,1.11,25.42,23.95,13.75,15.58,59.55,57.1
"26671",20003,11,1,6202,11001006202,0,0,109264,109264,26454,13216,6478316,5806697,33,8,11418663,6583173,0,0,1.69,1.88,0,0,0.96,1.66
"26672",20003,11,1,6400,11001006400,0,0,66074,66074,26454,13216,6478316,5806697,2139,1055,916650,689019,0,0,1.02,1.14,0,0,7.21,9.59
"26673",20003,11,1,6500,11001006500,2531,1543,496077,496077,26454,13216,6478316,5806697,2531,1543,496077,496077,9.57,11.68,7.66,8.54,100,100,100,100
"26674",20003,11,1,6600,11001006600,1909,1143,296241,296241,26454,13216,6478316,5806697,1909,1143,296241,296241,7.22,8.65,4.57,5.1,100,100,100,100
"26675",20003,11,1,6700,11001006700,3775,2008,428312,428312,26454,13216,6478316,5806697,3775,2008,428312,428312,14.27,15.19,6.61,7.38,100,100,100,100
"26676",20003,11,1,6801,11001006801,1949,977,245889,245889,26454,13216,6478316,5806697,1949,977,245889,245889,7.37,7.39,3.8,4.23,100,100,100,100
"26677",20003,11,1,6802,11001006802,2084,1004,281353,281353,26454,13216,6478316,5806697,2084,1004,281353,281353,7.88,7.6,4.34,4.85,100,100,100,100
"26678",20003,11,1,6804,11001006804,3670,13,1232228,982221,26454,13216,6478316,5806697,3670,13,2025540,1542921,13.87,0.1,19.02,16.92,100,100,60.83,63.66
"26679",20003,11,1,6900,11001006900,2179,1190,410302,410302,26454,13216,6478316,5806697,2179,1190,410302,410302,8.24,9,6.33,7.07,100,100,100,100
"26680",20003,11,1,7000,11001007000,2228,1268,409481,409481,26454,13216,6478316,5806697,2812,1268,420416,420416,8.42,9.59,6.32,7.05,79.23,100,97.4,97.4
"26681",20003,11,1,7100,11001007100,2911,1461,731369,591092,26454,13216,6478316,5806697,2911,1461,731369,591092,11,11.05,11.29,10.18,100,100,100,100
"26682",20003,11,1,7200,11001007200,2794,2370,1641731,1360396,26454,13216,6478316,5806697,2794,2370,1641731,1360396,10.56,17.93,25.34,23.43,100,100,100,100
"26683",20003,11,1,8002,11001008002,106,44,85977,85977,26454,13216,6478316,5806697,3031,1644,578152,578152,0.4,0.33,1.33,1.48,3.5,2.68,14.87,14.87
"26684",20003,11,1,8100,11001008100,88,49,8149,8149,26454,13216,6478316,5806697,2910,1549,292290,292290,0.33,0.37,0.13,0.14,3.02,3.16,2.79,2.79
"26685",20003,11,1,8200,11001008200,230,146,15919,15919,26454,13216,6478316,5806697,2918,1655,340155,340155,0.87,1.1,0.25,0.27,7.88,8.82,4.68,4.68
"26686",20003,11,1,10500,11001010500,0,0,19950,19950,26454,13216,6478316,5806697,3410,2347,752679,752679,0,0,0.31,0.34,0,0,2.65,2.65
"26687",20004,11,1,5800,11001005800,1611,1543,390617,390617,1622,1543,901753,901753,2830,2306,910808,910808,99.32,100,43.32,43.32,56.93,66.91,42.89,42.89
"26688",20004,11,1,6202,11001006202,11,0,511136,511136,1622,1543,901753,901753,33,8,11418663,6583173,0.68,0,56.68,56.68,33.33,0,4.48,7.76
"26689",20005,11,1,5001,11001005001,689,372,64401,64401,12775,9218,1103659,1103659,1955,1003,204752,204752,5.39,4.04,5.84,5.84,35.24,37.09,31.45,31.45
"26690",20005,11,1,5002,11001005002,5517,3698,217393,217393,12775,9218,1103659,1103659,6021,3853,233508,233508,43.19,40.12,19.7,19.7,91.63,95.98,93.1,93.1
"26691",20005,11,1,5201,11001005201,4143,3225,184988,184988,12775,9218,1103659,1103659,6077,4548,339712,339712,32.43,34.99,16.76,16.76,68.18,70.91,54.45,54.45
"26692",20005,11,1,5800,11001005800,6,0,128646,128646,12775,9218,1103659,1103659,2830,2306,910808,910808,0.05,0,11.66,11.66,0.21,0,14.12,14.12
"26693",20005,11,1,10100,11001010100,2420,1923,508231,508231,12775,9218,1103659,1103659,2621,2067,579751,579751,18.94,20.86,46.05,46.05,92.33,93.03,87.66,87.66
"26694",20006,11,1,6202,11001006202,5,1,137558,137558,3227,940,878122,878122,33,8,11418663,6583173,0.15,0.11,15.67,15.67,15.15,12.5,1.2,2.09
"26695",20006,11,1,10100,11001010100,0,0,19164,19164,3227,940,878122,878122,2621,2067,579751,579751,0,0,2.18,2.18,0,0,3.31,3.31
"26696",20006,11,1,10700,11001010700,55,1,298063,298063,3227,940,878122,878122,1838,1413,891591,891591,1.7,0.11,33.94,33.94,2.99,0.07,33.43,33.43
"26697",20006,11,1,10800,11001010800,3167,938,423337,423337,3227,940,878122,878122,6408,1115,661584,661584,98.14,99.79,48.21,48.21,49.42,84.13,63.99,63.99
"26698",20007,11,1,100,11001000100,4890,2999,1617283,1560175,26866,13849,9060828,7787301,4890,2999,2369696,1868805,18.2,21.65,17.85,20.03,100,100,68.25,83.49
"26699",20007,11,1,201,11001000201,28,2,108371,108371,26866,13849,9060828,7787301,3916,2,542544,542544,0.1,0.01,1.2,1.39,0.72,100,19.97,19.97
"26700",20007,11,1,202,11001000202,5425,2143,1231636,803301,26866,13849,9060828,7787301,5425,2143,1231636,803301,20.19,15.47,13.59,10.32,100,100,100,100
"26701",20007,11,1,300,11001000300,6233,2912,1022350,1020016,26866,13849,9060828,7787301,6233,2912,1022350,1020016,23.2,21.03,11.28,13.1,100,100,100,100
"26702",20007,11,1,400,11001000400,927,480,429495,429495,26866,13849,9060828,7787301,1455,690,1532784,1532715,3.45,3.47,4.74,5.52,63.71,69.57,28.02,28.02
"26703",20007,11,1,701,11001000701,938,661,116076,116076,26866,13849,9060828,7787301,4620,3275,549865,549865,3.49,4.77,1.28,1.49,20.3,20.18,21.11,21.11
"26704",20007,11,1,702,11001000702,3364,2471,292916,292758,26866,13849,9060828,7787301,3364,2471,292916,292758,12.52,17.84,3.23,3.76,100,100,100,100
"26705",20007,11,1,801,11001000801,2192,758,1963915,1819101,26866,13849,9060828,7787301,6709,3528,3076301,2931487,8.16,5.47,21.67,23.36,32.67,21.49,63.84,62.05
"26706",20007,11,1,802,11001000802,2869,1423,2278786,1638008,26866,13849,9060828,7787301,2869,1423,2278786,1638008,10.68,10.28,25.15,21.03,100,100,100,100
"26707",20008,11,1,400,11001000400,522,209,839568,839499,27525,17244,7898155,7865022,1455,690,1532784,1532715,1.9,1.21,10.63,10.67,35.88,30.29,54.77,54.77
"26708",20008,11,1,501,11001000501,3376,2186,944389,940955,27525,17244,7898155,7865022,3376,2186,944389,940955,12.27,12.68,11.96,11.96,100,100,100,100
"26709",20008,11,1,502,11001000502,3189,1774,581504,581504,27525,17244,7898155,7865022,3189,1774,581504,581504,11.59,10.29,7.36,7.39,100,100,100,100
"26710",20008,11,1,600,11001000600,2750,1468,885770,885744,27525,17244,7898155,7865022,4539,2234,1442899,1442828,9.99,8.51,11.21,11.26,60.59,65.71,61.39,61.39
"26711",20008,11,1,1100,11001001100,414,221,118403,118403,27525,17244,7898155,7865022,4779,2234,1676550,1676550,1.5,1.28,1.5,1.51,8.66,9.89,7.06,7.06
"26712",20008,11,1,1200,11001001200,3294,1923,779593,779593,27525,17244,7898155,7865022,5008,2633,1218354,1218354,11.97,11.15,9.87,9.91,65.77,73.03,63.99,63.99
"26713",20008,11,1,1301,11001001301,3955,2156,1205886,1205886,27525,17244,7898155,7865022,3955,2156,2853767,2853142,14.37,12.5,15.27,15.33,100,100,42.26,42.27
"26714",20008,11,1,1302,11001001302,6508,5059,1586777,1586685,27525,17244,7898155,7865022,6857,5375,1592444,1592352,23.64,29.34,20.09,20.17,94.91,94.12,99.64,99.64
"26715",20008,11,1,1402,11001001402,250,159,58130,58130,27525,17244,7898155,7865022,2998,1612,895208,895208,0.91,0.92,0.74,0.74,8.34,9.86,6.49,6.49
"26716",20008,11,1,1500,11001001500,104,32,46618,46418,27525,17244,7898155,7865022,5911,2126,4700012,4687921,0.38,0.19,0.59,0.59,1.76,1.51,0.99,0.99
"26717",20008,11,1,4100,11001004100,2704,1702,813093,783781,27525,17244,7898155,7865022,2708,1702,817012,787700,9.82,9.87,10.29,9.97,99.85,100,99.52,99.5
"26718",20008,11,1,5500,11001005500,459,355,38424,38424,27525,17244,7898155,7865022,6671,4983,637548,628198,1.67,2.06,0.49,0.49,6.88,7.12,6.03,6.12
"26719",20009,11,1,2702,11001002702,1043,636,88931,88931,47992,29093,3431536,3405906,5226,2565,504468,488089,2.17,2.19,2.59,2.61,19.96,24.8,17.63,18.22
"26720",20009,11,1,2802,11001002802,1705,918,78721,78721,47992,29093,3431536,3405906,4277,2142,229968,229968,3.55,3.16,2.29,2.31,39.86,42.86,34.23,34.23
