GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC55
Id,Id2,Geography,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes)
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",25
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",11.1
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",21.2
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",27
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",25.5
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",28.4
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",27.4
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",28.8
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",25.8
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",34.5
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",25.5
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",29.3
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",27.3
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",28.5
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",29.6
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",26.9
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",30.5
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",29.2
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",31.1
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",27.4
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",32.4
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",33.1
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",28
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",33.3
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",31.9
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",34.8
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",29.5
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",34.1
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",34.7
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",31.9
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",31.9
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",35.1
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",33.2
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",33.4
