GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Male,Margin of Error; Total: - Male,Estimate; Total: - Female,Margin of Error; Total: - Female,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Male,Margin of Error; Total: - Same house 1 year ago: - Male,Estimate; Total: - Same house 1 year ago: - Female,Margin of Error; Total: - Same house 1 year ago: - Female,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Male,Margin of Error; Total: - Moved within same county: - Male,Estimate; Total: - Moved within same county: - Female,Margin of Error; Total: - Moved within same county: - Female,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Male,Margin of Error; Total: - Moved from different county within same state: - Male,Estimate; Total: - Moved from different county within same state: - Female,Margin of Error; Total: - Moved from different county within same state: - Female,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Male,Margin of Error; Total: - Moved from different state: - Male,Estimate; Total: - Moved from different state: - Female,Margin of Error; Total: - Moved from different state: - Female,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Male,Margin of Error; Total: - Moved from abroad: - Male,Estimate; Total: - Moved from abroad: - Female,Margin of Error; Total: - Moved from abroad: - Female
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",4661,494,2386,372,2275,309,3877,498,2002,347,1875,307,421,167,199,124,222,93,0,12,0,12,0,12,290,95,166,64,124,56,73,49,19,23,54,47
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",4509,390,2327,263,2182,259,3275,392,1724,249,1551,240,678,151,300,106,378,110,0,12,0,12,0,12,471,133,258,91,213,84,85,55,45,39,40,40
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",3474,329,1546,223,1928,261,2692,339,1209,225,1483,239,377,156,141,63,236,104,0,12,0,12,0,12,374,139,196,68,178,96,31,31,0,12,31,31
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",3314,393,1599,234,1715,275,2969,395,1436,214,1533,284,162,80,42,38,120,70,0,12,0,12,0,12,109,59,47,40,62,36,74,70,74,70,0,12
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",4936,540,2243,445,2693,355,4195,452,1884,426,2311,255,324,166,131,86,193,143,0,12,0,12,0,12,286,133,158,81,128,82,131,115,70,67,61,55
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",3604,392,1915,311,1689,224,2803,415,1516,313,1287,228,511,161,284,126,227,99,0,12,0,12,0,12,234,92,115,65,119,56,56,47,0,12,56,47
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",2293,223,1051,143,1242,165,1904,229,901,124,1003,156,168,82,104,65,64,50,0,12,0,12,0,12,217,92,46,38,171,84,4,7,0,12,4,7
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",4696,488,1937,321,2759,366,2583,497,1081,267,1502,346,702,225,291,143,411,143,0,12,0,12,0,12,1292,333,498,201,794,225,119,70,67,45,52,51
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",5576,582,2488,358,3088,369,2792,499,1359,287,1433,270,712,399,385,221,327,200,0,17,0,17,0,17,1935,351,691,173,1244,284,137,81,53,57,84,57
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",5001,634,2761,317,2240,449,3566,600,2013,344,1553,365,706,207,424,146,282,146,0,17,0,17,0,17,687,359,309,130,378,264,42,41,15,25,27,32
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",5733,507,2900,455,2833,343,4315,601,2312,410,2003,405,914,449,322,255,592,260,0,17,0,17,0,17,427,174,245,106,182,120,77,71,21,34,56,64
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",4895,541,2598,408,2297,331,3637,513,1874,406,1763,281,618,234,273,164,345,134,0,12,0,12,0,12,543,185,402,154,141,80,97,101,49,52,48,49
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",4461,359,2118,331,2343,294,3416,359,1667,295,1749,250,421,172,165,100,256,115,0,12,0,12,0,12,458,174,211,123,247,122,166,129,75,75,91,92
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",4082,439,2282,433,1800,227,3011,498,1720,447,1291,193,718,273,361,167,357,151,0,12,0,12,0,12,332,158,201,128,131,74,21,25,0,12,21,25
