GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",0.5086,0.0584
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",0.5221,0.0447
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",0.4441,0.0343
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",0.5835,0.0402
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",0.4792,0.0498
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",0.4736,0.0392
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",0.4562,0.0419
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",0.5072,0.0487
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",0.3735,0.0435
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",0.5982,0.0502
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",0.5579,0.0430
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",0.5264,0.0485
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",0.5282,0.0843
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",0.3858,0.0314
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",0.4972,0.0698
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",0.4975,0.0457
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",0.4469,0.0466
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",0.5169,0.0474
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",0.4623,0.0481
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",0.5317,0.0400
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",0.5342,0.0418
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",0.3741,0.0470
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",0.4500,0.0414
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",0.4017,0.0456
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",0.5463,0.0742
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",0.4345,0.0428
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",0.4493,0.0731
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",0.3942,0.0343
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",0.5321,0.0354
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",0.4817,0.0481
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",0.4218,0.0419
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",0.4606,0.0483
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",0.4640,0.0594
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",0.5050,0.0541
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",0.4376,0.0486
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",0.4608,0.0601
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",0.4346,0.0860
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",0.6224,0.0438
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",0.4958,0.0854
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",0.4572,0.0432
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",0.4949,0.0463
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",0.4705,0.0458
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",0.4134,0.0436
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",0.4540,0.0309
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",0.3933,0.0297
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",0.5006,0.0461
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",0.4269,0.0436
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",0.4469,0.0416
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",0.3914,0.0327
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",0.4070,0.0462
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",0.4868,0.0508
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",0.5104,0.0420
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",0.4565,0.0450
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",0.4506,0.0430
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",0.4295,0.0425
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",0.4050,0.0486
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",0.4534,0.0472
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",0.4071,0.0463
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",0.4753,0.0567
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",0.3992,0.0639
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",0.4534,0.0650
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",0.4524,0.0457
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",0.4185,0.0419
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",0.5082,0.0545
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",0.5950,0.0348
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",0.4905,0.0476
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",0.3859,0.0379
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",0.4704,0.0361
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",0.5141,0.0356
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",0.4786,0.0405
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",0.4212,0.0529
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",0.4775,0.0410
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",0.4447,0.0439
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",0.4256,0.0334
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",0.5424,0.0737
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",0.5871,0.0476
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",0.4648,0.0513
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",0.4284,0.0408
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",0.1221,0.1823
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",0.5862,0.0510
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",0.4250,0.0417
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",0.4564,0.0695
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",0.4108,0.0374
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",0.4406,0.0327
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",0.4045,0.0404
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",-,**
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",0.4224,0.0381
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",0.4140,0.0440
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",0.4988,0.0514
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",0.4124,0.0492
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",0.3911,0.0426
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",0.5408,0.0606
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",0.5332,0.0425
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",0.4656,0.0589
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",0.5501,0.1055
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",0.4072,0.0508
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",0.4890,0.0673
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",0.5028,0.0577
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",0.4290,0.0449
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",0.6020,0.1015
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",0.4860,0.0407
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",0.6091,0.0562
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",0.5150,0.0575
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",0.4604,0.0706
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",0.4532,0.0434
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",0.4749,0.0434
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",0.5490,0.1002
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",0.4396,0.0603
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",0.4725,0.0529
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",0.4621,0.0575
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",0.4497,0.0427
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",0.4569,0.0554
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",0.5036,0.0510
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",0.5201,0.1317
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",0.5159,0.0482
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",0.4232,0.0571
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",0.4945,0.0340
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",0.4528,0.0451
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",0.3662,0.0344
