GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US20220,20220,"ZIP 20220 (Washington, DC)",0,Total for all sectors,2015,6,a,D,D
8610000US20223,20223,"ZIP 20223 (Washington, DC)",0,Total for all sectors,2015,7,107,1279,5024
8610000US20224,20224,"ZIP 20224 (Washington, DC)",0,Total for all sectors,2015,10,111,2411,9481
8610000US20226,20226,"ZIP 20226 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20228,20228,"ZIP 20228 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20229,20229,"ZIP 20229 (Washington, DC)",0,Total for all sectors,2015,5,58,715,2962
8610000US20230,20230,"ZIP 20230 (Washington, DC)",0,Total for all sectors,2015,9,85,1697,7571
8610000US20233,20233,"ZIP 20233 (Washington, DC)",0,Total for all sectors,2015,2,b,D,D
8610000US20237,20237,"ZIP 20237 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20238,20238,"ZIP 20238 (Washington, DC)",0,Total for all sectors,2015,1,b,D,D
8610000US20240,20240,"ZIP 20240 (Washington, DC)",0,Total for all sectors,2015,12,91,1415,4406
8610000US20241,20241,"ZIP 20241 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20242,20242,"ZIP 20242 (Washington, DC)",0,Total for all sectors,2015,7,b,D,D
8610000US20250,20250,"ZIP 20250 (Washington, DC)",0,Total for all sectors,2015,16,202,3351,12222
8610000US20254,20254,"ZIP 20254 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20260,20260,"ZIP 20260 (Washington, DC)",0,Total for all sectors,2015,10,153,2721,10573
8610000US20268,20268,"ZIP 20268 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20301,20301,"ZIP 20301 (Washington, DC)",0,Total for all sectors,2015,26,129,3184,13047
8610000US20303,20303,"ZIP 20303 (Washington, DC)",0,Total for all sectors,2015,5,17,294,1253
8610000US20310,20310,"ZIP 20310 (Washington, DC)",0,Total for all sectors,2015,19,278,2867,13398
8610000US20314,20314,"ZIP 20314 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20317,20317,"ZIP 20317 (Washington, DC)",0,Total for all sectors,2015,2,a,D,D
8610000US20318,20318,"ZIP 20318 (Washington, DC)",0,Total for all sectors,2015,8,78,2339,9226
8610000US20319,20319,"ZIP 20319 (Washington, DC)",0,Total for all sectors,2015,6,27,476,2011
8610000US20330,20330,"ZIP 20330 (Washington, DC)",0,Total for all sectors,2015,8,86,1807,7465
8610000US20340,20340,"ZIP 20340 (Washington, DC)",0,Total for all sectors,2015,26,373,9140,36269
8610000US20350,20350,"ZIP 20350 (Washington, DC)",0,Total for all sectors,2015,10,62,1744,7108
8610000US20372,20372,"ZIP 20372 (Washington, DC)",0,Total for all sectors,2015,1,a,D,D
8610000US20373,20373,"ZIP 20373 (Naval Anacost Annex, DC)",0,Total for all sectors,2015,5,60,1347,5509
8610000US20374,20374,"ZIP 20374 (Washington Navy Yard, DC)",0,Total for all sectors,2015,30,202,3603,17764
8610000US20375,20375,"ZIP 20375 (Washington, DC)",0,Total for all sectors,2015,15,105,1980,8637
